Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19
P101,26,51,45,47,40,36,38,28,38,45,52,37,49,36,37,40,52,37,43,34
P102,34,41,22,32,36,27,44,33,22,38,33,33,39,31,28,37,44,40,40,43
P103,7,5,7,7,14,9,10,6,12,13,8,9,6,9,9,8,13,10,8,8
P104,4,4,5,5,3,7,5,6,5,7,10,5,8,7,3,2,4,6,3,3
P105,2,3,3,2,5,4,5,7,5,3,8,3,6,2,2,3,1,7,6,5
P106,11,10,11,16,16,7,11,6,16,15,12,8,10,12,13,16,4,11,14,13
P107,19,19,15,24,16,23,27,20,19,17,18,21,18,19,19,18,18,16,23,19
P108,0,2,2,0,3,1,2,1,6,3,0,3,4,3,5,1,5,0,1,2
P109,9,8,8,5,13,9,13,7,9,14,3,9,10,10,14,17,13,4,11,9
P110,9,12,12,6,15,10,9,10,10,9,13,11,8,3,5,10,13,14,9,8
P111,5,4,7,4,4,5,4,4,2,6,3,2,3,14,3,2,3,3,4,8
P112,31,36,32,51,39,33,35,46,57,34,39,30,32,27,41,27,50,46,35,31
P113,22,26,31,37,32,25,28,33,40,27,38,40,31,32,29,34,34,29,31,43
P114,7,6,7,8,10,12,7,10,11,14,10,16,15,13,9,16,5,15,9,9
P115,9,9,12,13,14,13,10,6,10,11,16,10,11,17,14,17,11,10,5,13
P116,13,7,8,8,7,12,9,11,11,9,7,13,8,10,12,16,9,14,12,11
P117,6,2,3,3,3,2,5,2,4,4,3,10,3,5,6,7,5,7,7,9
P118,16,13,10,10,16,15,9,5,13,13,8,11,8,11,10,8,14,15,11,8
P119,30,40,46,33,28,41,34,33,44,49,37,29,42,31,45,43,37,43,49,29
P120,37,35,27,30,31,42,30,37,37,39,32,31,38,38,35,47,52,42,32,34
P121,7,10,8,10,11,10,9,9,11,7,14,12,10,11,9,14,7,8,11,6
P122,7,10,7,8,11,2,9,7,12,17,8,8,6,19,5,17,6,12,11,7
P123,5,5,3,6,4,6,4,7,4,2,4,4,3,3,5,2,5,1,0,5
P124,4,6,0,7,4,3,5,4,2,7,11,6,8,4,4,10,5,3,4,3
P125,6,9,5,10,6,9,10,8,15,14,15,10,11,8,9,6,9,11,3,9
P126,3,8,8,3,5,3,6,3,5,6,6,2,5,3,9,2,4,6,4,2
P127,4,0,2,2,2,1,3,2,1,3,1,0,7,2,6,1,4,0,3,7
P128,36,43,28,39,41,37,41,45,43,40,46,40,40,33,35,31,35,32,38,40
P129,21,36,44,47,26,33,30,27,37,34,41,45,41,36,37,43,44,44,35,33
P130,19,53,43,41,39,46,45,31,50,46,39,35,38,29,37,28,32,46,49,28
P131,29,32,32,35,49,38,34,43,39,31,45,38,40,40,42,45,34,37,38,43
P132,39,36,45,41,43,37,38,39,32,45,48,32,36,40,37,28,30,32,41,45
P133,30,48,29,38,40,42,47,42,33,38,47,32,40,30,42,42,42,40,34,47
P134,32,41,50,35,36,35,41,33,32,34,38,29,42,52,57,31,34,24,30,38
P135,38,32,36,37,42,33,56,37,39,31,43,45,39,55,43,45,47,41,43,29
P136,39,37,39,52,38,28,51,39,42,37,35,47,32,32,45,36,34,55,40,28
P137,37,41,43,41,40,47,54,30,43,40,33,45,35,43,41,44,34,35,34,36
P138,36,44,22,35,34,34,38,34,26,36,33,28,43,38,19,40,41,32,41,36
P139,32,36,32,38,47,31,48,27,41,36,31,34,47,39,38,38,47,36,41,44
P140,28,36,41,46,34,38,38,28,34,27,28,39,45,19,32,44,33,24,38,39
P141,27,45,40,34,31,35,37,40,40,37,34,25,29,30,42,35,37,42,38,33
P142,23,29,40,43,34,30,42,43,35,35,43,37,25,42,42,39,43,42,16,33
P143,31,35,29,42,31,35,28,41,49,41,36,27,39,43,33,47,43,34,43,40
P144,9,13,17,12,8,21,12,9,6,5,6,18,13,6,11,12,11,6,6,13
P145,10,12,9,9,12,6,9,12,13,7,12,11,14,9,15,13,6,7,13,12
P146,7,13,9,13,10,12,11,6,11,11,10,15,7,5,9,8,9,4,6,5
P147,10,4,9,9,15,7,10,14,10,9,12,11,8,16,8,13,10,6,7,9
P148,3,2,8,3,5,7,1,5,3,5,3,2,8,4,5,5,5,4,1,3
P149,11,9,9,6,13,8,11,14,14,11,9,10,13,4,10,13,10,11,11,13
P150,4,3,3,4,6,2,3,5,4,3,4,6,3,4,6,6,3,5,3,4
P151,3,7,8,8,6,8,2,12,1,3,8,3,6,8,6,4,1,7,8,4
P152,11,10,8,8,13,4,10,10,6,12,16,7,13,8,10,5,12,8,9,15
P153,22,9,11,10,10,5,9,13,17,14,10,12,11,13,11,10,7,7,14,4
P154,12,14,11,6,8,7,16,4,11,5,8,5,10,4,11,2,9,13,13,15
P155,5,7,4,3,4,3,2,4,3,5,2,3,3,4,4,5,10,5,5,4
P156,1,4,6,6,3,8,2,3,4,6,3,6,4,3,2,6,1,5,5,0
P157,12,8,14,7,8,10,11,14,15,8,9,14,11,8,9,10,10,8,7,6
P158,8,3,3,2,3,3,4,5,2,7,7,3,9,3,4,6,3,2,4,2
P159,2,2,9,5,2,7,4,4,5,7,2,8,3,5,4,7,3,4,4,5
P160,9,8,10,13,14,10,15,9,6,6,7,16,14,5,9,9,8,12,9,12
P161,5,6,5,7,1,3,6,6,2,9,4,6,5,2,2,5,7,3,6,3
P162,13,9,12,9,11,11,9,11,9,9,18,5,8,10,11,12,10,12,8,10
P163,6,5,6,6,7,5,5,5,1,3,1,3,3,0,6,1,0,7,3,3
P164,9,5,8,9,14,10,8,11,8,7,8,13,7,2,9,12,14,7,7,12
P165,9,13,9,16,12,9,13,14,6,16,10,8,11,11,6,15,10,14,10,11
P166,7,10,9,11,5,8,15,14,9,7,16,13,10,14,13,7,18,7,13,11
P167,33,45,42,41,32,45,43,45,45,36,48,46,33,42,34,37,41,30,37,34
P168,34,29,34,59,27,39,34,49,35,45,39,28,43,40,37,33,42,31,43,30
P169,38,31,22,43,29,25,46,32,38,39,32,32,31,37,29,36,37,33,52,18
P170,29,37,32,43,30,27,28,22,37,42,32,36,31,34,28,48,35,39,34,34
P171,6,7,13,6,4,12,11,9,13,13,14,11,9,9,7,11,9,5,6,11
P172,32,48,44,40,31,40,30,45,40,29,45,32,37,36,43,36,34,42,50,36
P173,34,25,42,47,37,40,30,44,37,38,41,38,42,40,44,41,54,42,32,48
P174,37,42,30,43,48,44,47,27,43,41,34,53,33,35,40,52,47,43,40,51
P175,30,40,48,28,30,34,40,53,43,37,29,38,38,36,36,46,37,49,35,35
P176,38,44,41,26,28,36,29,38,45,32,45,53,44,31,35,37,35,49,30,40
P177,25,38,37,48,34,40,30,29,39,40,36,35,30,44,43,46,29,35,39,56
P178,35,34,40,36,45,37,43,47,34,39,33,41,47,40,47,53,44,39,42,41
P179,44,43,35,36,39,42,31,44,37,38,33,35,37,34,51,50,43,38,43,36
P180,40,38,34,43,43,34,41,31,55,34,51,37,40,44,38,53,55,32,35,35
P181,32,44,31,38,37,36,30,42,49,46,26,31,39,47,43,50,35,37,32,31
P182,42,28,34,28,26,35,29,36,44,37,47,29,43,37,36,31,39,26,28,40
P183,25,37,42,50,18,32,38,37,33,30,37,20,41,40,39,38,34,32,41,30
P184,30,37,38,30,32,32,52,33,47,44,38,45,38,47,44,52,40,42,35,39
P185,32,28,36,40,40,50,43,40,38,35,43,41,29,34,37,33,25,44,39,46
P186,36,34,37,36,41,33,51,43,21,44,35,50,39,37,26,41,48,35,47,51
P187,31,38,47,36,36,27,28,19,40,38,28,31,34,38,36,30,33,45,31,22
P188,33,34,36,52,42,49,39,30,43,20,25,49,35,34,39,35,52,39,27,44
P189,32,34,46,30,39,51,28,25,30,32,38,23,41,29,39,38,35,31,44,28
P190,54,41,51,45,51,46,31,37,38,35,43,36,41,54,47,30,47,36,45,28
P191,48,36,42,35,44,39,37,45,42,40,40,42,57,46,38,35,31,36,49,40
P192,24,33,30,35,36,43,43,31,31,39,26,33,39,39,29,43,40,40,32,46
P193,36,22,32,45,35,44,39,41,33,43,49,41,45,45,43,35,46,60,43,41
P194,35,37,31,23,37,42,38,34,33,37,34,43,37,32,43,42,41,43,29,33
P195,4,4,7,5,5,3,3,7,3,5,8,5,5,3,0,10,7,4,12,4
P196,43,34,39,32,45,35,43,44,36,39,37,27,38,34,32,30,47,33,30,26
P197,6,8,8,16,8,11,9,18,10,12,12,6,9,15,15,4,9,13,3,7
P198,7,19,4,9,8,12,11,10,8,16,10,9,14,12,15,15,7,6,10,18
P199,4,1,1,6,3,7,1,4,4,5,3,5,7,4,3,1,2,2,5,5
P200,18,14,21,17,26,14,15,20,17,12,14,22,18,16,16,16,16,17,22,24
